Start Time,Sortname,Location,CaO_AVG,SiO2_AVG,Al2O3_AVG,Fe2O3_AVG,MgO_AVG,NO.SO3.P_AVG,Na2O.P_AVG,K2O.P_AVG,TiO2_AVG,P2O5_AVG,Mn2O3_AVG,Cl_AVG,Cr2O3_AVG,LOI.P_AVG,NO.R45_AVG,WC_AVG,WR_AVG,SETINI_AVG,SETFIN_AVG,FLOW_AVG,R1,R3
2019-01-28 00:00:00,ESP+,NO.630.d,52.481899,23.5005,5.2364,3.3187,0.7823,2.2557,0.0713,0.7727,0.3072,0.3335,0.0601,-0.0054,0.0072,1.54,1.04,49.459999,25.540001,116,205,107.0,15.53,28.57
2019-01-29 00:00:00,BOYT1,NO.563.d,51.638901,26.9909,5.0247,2.8645,0.7891,2.2809,0.0885,0.798,0.3298,0.3098,0.0502,0.0087,0.0087,9.03,13.38,52.43,24.77,175,265,106.0,6.9,15.06
2019-01-29 00:00:00,ESP+,NO.630.d,61.839401,23.527901,5.0471,3.33,0.8298,2.3251,0.092,0.7227,0.3032,0.3343,0.0616,0.0074,0.0079,1.55,1.06,49.32,25.379999,126,212,107.0,16.07,29.469999
2019-01-29 00:00:00,ESP2,NO.630.d,59.4161,23.192699,5.0168,3.1885,0.7867,2.2353,0.08,0.7038,0.2932,0.3289,0.0624,0.004,0.0075,3.7,1.08,49.73,25.23,125,219,106.0,13.9,28.879999
2019-01-30 00:00:00,ESP2,NO.563.d,59.407501,23.984301,5.0418,3.1092,0.8374,2.2302,0.0852,0.8064,0.3032,0.3356,0.057,0.0061,0.0064,3.69,1.2,49.860001,25.08,135,221,106.0,14.14,29.08
2019-01-31 00:00:00,BOYT1,NO.563.d,51.7211,26.784401,4.8278,2.9311,0.7359,2.0824,0.0735,0.8271,0.3198,0.2859,0.0527,0.0154,0.0085,9.45,12.88,53.380001,25.85,203,268,108.0,4.78,13.21
2019-01-31 00:00:00,ESP+,NO.630.d,61.231602,23.404699,5.0217,3.2638,0.8356,2.3035,0.0754,0.7523,0.3,0.3417,0.0566,0.0011,0.0066,1.5,0.91,48.650002,25.379999,109,204,106.0,16.4,28.57
2019-01-31 00:00:00,ESP2,NO.630.d,58.5187,23.6812,4.9915,3.1083,0.8204,2.2356,0.1073,0.8091,0.3065,0.3437,0.0561,0.0021,0.0067,3.75,1.42,50.0,25.85,119,184,106.0,12.41,29.879999
2019-02-01 00:00:09,BOYT1,NO.630.d,52.3767,26.6194,4.833,3.0455,0.7459,2.2108,0.0837,0.8238,0.3187,0.301,0.0529,0.0068,0.0069,8.18,11.51,52.43,25.08,160,266,109.0,7.74,16.34
2019-02-01 00:00:09,ESP+,NO.630.d,59.261501,23.7365,5.0143,3.3126,0.8459,2.367,0.0901,0.7947,0.3061,0.3608,0.055,-0.0005,0.006,1.56,0.91,48.919998,25.540001,116,195,109.0,17.0,31.57
2019-02-01 00:00:09,ESP2,NO.563.d,59.261501,24.0005,4.8086,3.1925,0.8751,2.3379,0.0519,0.7387,0.3017,0.32,0.0595,0.0035,0.0075,4.26,0.95,50.139999,25.690001,114,195,107.0,13.19,26.959999
2019-02-03 00:00:19,BOYT1,NO.563.d,52.1647,26.498899,4.852,2.8291,0.754,2.218,0.0942,0.8138,0.3249,0.2788,0.0537,-0.0015,0.0081,9.19,12.03,51.889999,24.77,185,267,108.0,6.15,14.84
2019-02-03 00:00:19,ESP2,NO.563.d,59.5396,24.1297,4.9403,3.1289,0.8112,2.2533,0.0786,0.794,0.3175,0.3178,0.059,0.0,0.0066,3.85,1.0,50.0,25.690001,160,249,111.0,12.18,27.48
2019-02-04 00:00:56,BOYT1,NO.630.d,52.598999,25.7952,4.7605,2.9691,0.7439,2.1748,0.0818,0.8202,0.3138,0.3025,0.0536,0.0095,0.0072,8.7,11.59,52.43,25.23,168,258,109.0,6.71,16.07
2019-02-04 00:00:56,ESP+,NO.630.d,61.9711,23.7159,4.9765,3.2841,0.8685,2.408,0.0981,0.7896,0.3073,0.3409,0.0584,0.0032,0.0077,1.53,0.94,49.189999,26.15,136,199,110.0,15.22,30.67
2019-02-05 00:00:26,ESP2,NO.563.d,60.1,24.0051,4.9022,3.1433,0.8141,2.3479,0.1224,0.8137,0.3272,0.3257,0.0598,0.0019,0.0068,3.72,0.91,50.139999,26.309999,125,222,106.0,14.52,27.360001
2019-02-05 00:00:40,ESP+,NO.630.d,61.633202,23.8419,4.7421,3.3014,0.8321,2.3791,0.0854,0.77,0.3048,0.3356,0.0607,-0.0031,0.0065,1.47,0.98,49.189999,26.0,125,227,112.0,15.11,29.59
2019-02-05 00:00:40,ESP2,NO.630.d,60.0343,23.6049,4.7839,3.2209,0.7971,2.2624,0.0932,0.793,0.3093,0.3286,0.0708,0.0041,0.006,3.88,1.67,50.139999,26.309999,115,232,109.0,14.63,28.93
2019-02-06 00:00:00,ESP+,NO.630.d,61.0658,24.368799,5.1736,3.2879,0.7801,2.546,0.0984,0.8461,0.3189,0.3421,0.0582,0.0082,0.0087,1.49,0.98,49.189999,25.85,130,236,108.0,14.95,27.450001
2019-02-06 00:00:00,ESP2,NO.563.d,60.305599,23.162701,4.8026,3.2311,0.7832,2.2783,0.087,0.763,0.3022,0.3206,0.0568,0.0044,0.0068,3.93,1.34,50.0,26.15,173,267,108.0,14.04,28.26
2019-02-07 00:00:00,ESP+,NO.630.d,59.177299,23.890499,4.8698,3.3618,0.8507,2.4497,0.093,0.788,0.3066,0.3297,0.0607,0.001,0.0069,1.9,0.68,49.32,25.9,110,198,110.0,16.25,31.07
2019-02-07 00:00:00,ESP2,NO.630.d,59.177299,24.4172,5.0766,3.3136,0.8201,2.3663,0.0903,0.8048,0.3213,0.3344,0.0607,-0.0002,0.0062,1.0,0.9,50.0,26.3,112,209,112.0,14.5,28.379999
2019-02-08 00:00:00,ESP+,NO.630.d,61.925301,24.100599,5.0307,3.352,0.8806,2.4186,0.1026,0.7967,0.313,0.3435,0.0593,0.0036,0.0068,1.51,1.08,49.59,25.85,114,224,106.0,15.22,28.33
2019-02-09 00:00:00,BOYT1,NO.563.d,51.6586,26.34,5.0341,2.8065,0.7077,2.3034,0.0745,0.8691,0.3343,0.2979,0.0496,0.0077,0.0083,9.87,13.26,53.779999,25.23,174,260,107.0,5.86,12.56
2019-02-09 00:00:00,ESP+,NO.630.d,61.1763,23.6789,4.9855,3.2918,0.8356,2.4076,0.097,0.755,0.3018,0.3343,0.0597,0.0017,0.0087,1.61,1.13,50.0,25.85,104,247,109.0,14.58,28.120001
